iter	Passed	Remaining
0	16	97383
1	31	95585
2	47	95252
3	61	91548
4	74	89299
5	89	88980
6	102	88009
7	115	86634
8	129	86077
9	142	85563
10	157	85859
11	173	86390
12	189	87501
13	203	86986
14	217	86790
15	230	86340
16	242	85512
17	256	85268
18	271	85453
19	286	85766
20	301	85809
21	314	85391
22	327	85085
23	341	85102
24	354	84841
25	369	84976
26	384	85105
27	397	84842
28	412	84927
29	425	84729
30	439	84652
31	454	84782
32	470	85014
33	488	85789
34	508	86693
35	529	87661
36	546	88137
37	563	88359
38	583	89120
39	600	89449
40	617	89723
41	634	90022
42	651	90207
43	668	90540
44	685	90734
45	701	90787
46	716	90808
47	731	90766
48	747	90770
49	760	90506
50	776	90548
51	794	90927
52	809	90783
53	824	90750
54	841	90945
55	859	91218
56	878	91572
57	890	91252
58	907	91372
59	922	91375
60	937	91239
61	956	91635
62	978	92188
63	999	92663
64	1022	93333
65	1048	94299
66	1063	94171
67	1077	94030
68	1092	93868
69	1107	93781
70	1120	93586
71	1135	93492
72	1150	93386
73	1167	93510
74	1184	93586
75	1198	93440
76	1212	93254
77	1226	93130
78	1241	93072
79	1256	92966
80	1272	92960
81	1285	92800
82	1299	92659
83	1314	92547
84	1327	92357
85	1342	92319
86	1356	92186
87	1376	92506
88	1392	92513
89	1406	92336
90	1418	92130
91	1433	92069
92	1449	92037
93	1462	91863
94	1476	91798
95	1490	91695
96	1504	91566
97	1519	91496
98	1533	91391
99	1547	91326
100	1561	91184
101	1577	91189
102	1591	91134
103	1607	91114
104	1618	90886
105	1632	90773
106	1647	90723
107	1660	90591
108	1676	90623
109	1691	90546
110	1704	90419
111	1717	90280
112	1731	90219
113	1747	90241
114	1761	90146
115	1778	90211
116	1791	90095
117	1805	90012
118	1818	89887
119	1833	89819
120	1848	89818
121	1862	89736
122	1877	89715
123	1890	89606
124	1907	89651
125	1921	89575
126	1936	89537
127	1956	89766
128	1977	89992
129	2009	90742
130	2024	90715
131	2038	90638
132	2052	90525
133	2068	90551
134	2084	90549
135	2100	90548
136	2114	90487
137	2128	90399
138	2141	90318
139	2156	90253
140	2171	90245
141	2186	90193
142	2199	90075
143	2211	89952
144	2227	89940
145	2242	89915
146	2255	89809
147	2271	89834
148	2286	89770
149	2301	89767
150	2316	89736
151	2330	89660
152	2343	89568
153	2361	89632
154	2376	89631
155	2389	89529
156	2402	89404
157	2417	89384
158	2431	89312
159	2445	89262
160	2458	89152
161	2475	89196
162	2488	89105
163	2503	89075
164	2517	89028
165	2530	88948
166	2545	88913
167	2559	88843
168	2575	88848
169	2590	88831
170	2605	88826
171	2620	88800
172	2634	88735
173	2648	88672
174	2661	88592
175	2676	88578
176	2691	88536
177	2704	88461
178	2718	88416
179	2733	88374
180	2747	88333
181	2762	88305
182	2777	88276
183	2793	88312
184	2810	88328
185	2823	88268
186	2840	88296
187	2856	88313
188	2873	88336
189	2889	88369
190	2906	88387
191	2922	88399
192	2943	88565
193	2960	88594
194	2976	88609
195	2988	88502
196	3004	88498
197	3019	88477
198	3032	88410
199	3047	88364
200	3062	88367
201	3076	88318
202	3090	88261
203	3105	88230
204	3124	88317
205	3138	88274
206	3154	88290
207	3174	88400
208	3190	88406
209	3204	88360
210	3219	88318
211	3240	88463
212	3258	88524
213	3274	88528
214	3292	88602
215	3309	88629
216	3325	88612
217	3345	88744
218	3366	88865
219	3381	88835
220	3397	88842
221	3412	88818
222	3427	88783
223	3442	88775
224	3459	88800
225	3476	88817
226	3491	88798
227	3510	88871
228	3529	88952
229	3546	88966
230	3564	89027
231	3578	88973
232	3592	88928
233	3607	88888
234	3619	88794
235	3633	88734
236	3648	88724
237	3664	88719
238	3681	88737
239	3696	88721
240	3711	88700
241	3726	88655
242	3739	88603
243	3752	88529
244	3767	88498
245	3781	88445
246	3794	88387
247	3808	88334
248	3822	88285
249	3835	88221
250	3849	88169
251	3864	88148
252	3880	88135
253	3893	88070
254	3906	88003
255	3918	87924
256	3937	87985
257	3955	88036
258	3970	88002
259	3982	87922
260	3996	87875
261	4011	87849
262	4025	87808
263	4039	87757
264	4053	87714
265	4069	87723
266	4083	87679
267	4097	87636
268	4111	87598
269	4126	87569
270	4139	87508
271	4153	87468
272	4170	87497
273	4187	87505
274	4200	87453
275	4213	87377
276	4227	87339
277	4240	87290
278	4255	87254
279	4272	87284
280	4287	87263
281	4301	87212
282	4315	87188
283	4330	87167
284	4350	87242
285	4367	87256
286	4382	87227
287	4396	87195
288	4411	87169
289	4425	87142
290	4440	87121
291	4456	87121
292	4472	87110
293	4486	87068
294	4500	87043
295	4516	87034
296	4530	87003
297	4546	86987
298	4563	87004
299	4577	86979
300	4592	86954
301	4607	86926
302	4621	86900
303	4635	86851
304	4649	86811
305	4665	86806
306	4677	86747
307	4689	86662
308	4704	86639
309	4716	86574
310	4730	86532
311	4747	86543
312	4763	86542
313	4778	86537
314	4793	86515
315	4808	86491
316	4823	86473
317	4837	86444
318	4853	86428
319	4867	86401
320	4880	86352
321	4896	86343
322	4912	86344
323	4925	86289
324	4948	86410
325	4964	86399
326	4978	86368
327	4994	86375
328	5008	86337
329	5024	86336
330	5038	86291
331	5054	86285
332	5071	86304
333	5085	86273
334	5101	86261
335	5115	86234
336	5130	86219
337	5146	86204
338	5160	86173
339	5173	86128
340	5186	86074
341	5200	86036
342	5215	86017
343	5229	85978
344	5243	85950
345	5257	85911
346	5269	85852
347	5286	85856
348	5301	85849
349	5316	85830
350	5333	85831
351	5355	85924
352	5369	85903
353	5385	85893
354	5406	85974
355	5422	85966
356	5437	85948
357	5454	85956
358	5469	85943
359	5483	85911
360	5501	85931
361	5530	86142
362	5547	86150
363	5564	86150
364	5583	86195
365	5601	86228
366	5618	86238
367	5638	86293
368	5658	86343
369	5673	86332
370	5691	86356
371	5706	86334
372	5721	86314
373	5736	86287
374	5756	86340
375	5770	86312
376	5783	86264
377	5798	86248
378	5812	86212
379	5829	86211
380	5843	86177
381	5859	86168
382	5873	86143
383	5889	86127
384	5904	86113
385	5918	86084
386	5940	86163
387	5955	86134
388	5968	86094
389	5984	86086
390	6001	86095
391	6019	86119
392	6037	86131
393	6055	86156
394	6072	86171
395	6092	86213
396	6111	86256
397	6128	86258
398	6147	86295
399	6166	86324
400	6180	86297
401	6195	86277
402	6211	86268
403	6227	86258
404	6241	86224
405	6260	86253
406	6274	86223
407	6286	86166
408	6300	86130
409	6316	86116
410	6329	86078
411	6345	86065
412	6359	86036
413	6374	86010
414	6389	85985
415	6402	85945
416	6416	85900
417	6430	85866
418	6446	85862
419	6462	85852
420	6478	85845
421	6495	85854
422	6511	85853
423	6529	85870
424	6545	85866
425	6561	85855
426	6577	85839
427	6591	85809
428	6607	85803
429	6627	85846
430	6644	85855
431	6661	85856
432	6675	85828
433	6691	85823
434	6705	85786
435	6719	85756
436	6735	85746
437	6751	85739
438	6767	85723
439	6781	85694
440	6795	85655
441	6810	85636
442	6824	85609
443	6839	85590
444	6855	85576
445	6871	85567
446	6888	85576
447	6903	85558
448	6919	85542
449	6944	85654
450	6960	85641
451	6978	85654
452	6995	85664
453	7015	85695
454	7033	85720
455	7050	85720
456	7068	85735
457	7084	85725
458	7099	85703
459	7115	85692
460	7129	85665
461	7144	85646
462	7159	85619
463	7177	85633
464	7194	85635
465	7212	85652
466	7230	85666
467	7249	85696
468	7267	85704
469	7284	85710
470	7299	85683
471	7317	85699
472	7333	85694
473	7356	85762
474	7372	85750
475	7386	85721
476	7401	85696
477	7417	85687
478	7433	85678
479	7449	85668
480	7463	85631
481	7476	85596
482	7489	85551
483	7503	85509
484	7520	85511
485	7536	85505
486	7551	85490
487	7569	85496
488	7586	85495
489	7606	85535
490	7622	85528
491	7639	85519
492	7655	85512
493	7671	85507
494	7686	85478
495	7702	85473
496	7717	85453
497	7732	85433
498	7747	85410
499	7763	85398
500	7778	85381
501	7794	85362
502	7812	85381
503	7828	85370
504	7846	85382
505	7862	85365
506	7879	85363
507	7894	85349
508	7909	85330
509	7932	85394
510	7950	85405
511	7964	85366
512	7977	85329
513	7993	85318
514	8010	85320
515	8027	85310
516	8042	85292
517	8057	85275
518	8072	85255
519	8087	85231
520	8103	85223
521	8121	85224
522	8137	85213
523	8152	85197
524	8166	85167
525	8182	85152
526	8197	85129
527	8214	85132
528	8234	85160
529	8262	85278
530	8298	85467
531	8315	85473
532	8330	85442
533	8350	85475
534	8367	85471
535	8381	85439
536	8394	85401
537	8408	85362
538	8424	85350
539	8441	85352
540	8457	85338
541	8471	85310
542	8487	85300
543	8508	85332
544	8529	85372
545	8547	85379
546	8565	85389
547	8580	85370
548	8595	85346
549	8611	85333
550	8625	85304
551	8641	85289
552	8655	85259
553	8669	85226
554	8683	85194
555	8697	85163
556	8712	85136
557	8726	85107
558	8741	85089
559	8757	85069
560	8772	85053
561	8786	85019
562	8802	85006
563	8818	84996
564	8835	84997
565	8853	84997
566	8869	84984
567	8884	84968
568	8900	84958
569	8916	84939
570	8942	85020
571	8957	84999
572	8972	84982
573	8986	84948
574	9000	84920
575	9015	84891
576	9030	84872
577	9045	84857
578	9060	84833
579	9076	84819
580	9092	84801
581	9107	84782
582	9122	84760
583	9136	84728
584	9151	84712
585	9167	84694
586	9182	84675
587	9197	84653
588	9211	84624
589	9225	84595
590	9239	84564
591	9255	84547
592	9269	84522
593	9283	84487
594	9298	84468
595	9313	84442
596	9327	84412
597	9345	84426
598	9362	84421
599	9377	84400
600	9392	84374
601	9407	84352
602	9421	84326
603	9436	84302
604	9451	84279
605	9465	84249
606	9480	84228
607	9496	84220
608	9512	84210
609	9528	84192
610	9543	84175
611	9560	84166
612	9575	84145
613	9589	84120
614	9605	84106
615	9619	84075
616	9634	84057
617	9650	84040
618	9664	84010
619	9678	83983
620	9691	83949
621	9706	83924
622	9721	83902
623	9735	83875
624	9751	83862
625	9766	83841
626	9780	83810
627	9794	83785
628	9809	83766
629	9825	83747
630	9838	83710
631	9855	83711
632	9870	83685
633	9883	83651
634	9897	83619
635	9911	83595
636	9938	83671
637	9965	83754
638	9988	83796
639	10003	83779
640	10016	83744
641	10030	83716
642	10048	83715
643	10062	83690
644	10077	83663
645	10092	83649
646	10108	83635
647	10124	83618
648	10141	83612
649	10155	83587
650	10169	83557
651	10184	83536
652	10200	83521
653	10213	83492
654	10228	83470
655	10244	83455
656	10259	83431
657	10273	83407
658	10288	83387
659	10304	83370
660	10320	83357
661	10334	83329
662	10355	83357
663	10371	83343
664	10386	83326
665	10400	83297
666	10414	83273
667	10429	83251
668	10446	83243
669	10461	83222
670	10476	83206
671	10491	83185
672	10507	83170
673	10521	83142
674	10536	83123
675	10553	83117
676	10568	83097
677	10584	83081
678	10600	83067
679	10615	83048
680	10631	83034
681	10648	83030
682	10663	83012
683	10678	82995
684	10695	82985
685	10710	82964
686	10725	82947
687	10742	82941
688	10758	82925
689	10773	82910
690	10789	82895
691	10805	82880
692	10819	82859
693	10836	82851
694	10854	82855
695	10871	82851
696	10887	82835
697	10904	82828
698	10920	82819
699	10948	82894
700	10965	82887
701	10980	82866
702	10996	82854
703	11012	82842
704	11026	82818
705	11042	82802
706	11058	82788
707	11072	82759
708	11086	82734
709	11100	82709
710	11116	82690
711	11131	82672
712	11146	82652
713	11160	82622
714	11175	82604
715	11190	82585
716	11204	82557
717	11218	82532
718	11233	82508
719	11249	82494
720	11266	82493
721	11281	82473
722	11297	82457
723	11314	82452
724	11333	82457
725	11356	82496
726	11373	82494
727	11390	82490
728	11407	82482
729	11421	82453
730	11435	82426
731	11452	82419
732	11465	82386
733	11479	82354
734	11494	82341
735	11510	82325
736	11524	82301
737	11541	82294
738	11556	82271
739	11571	82254
740	11586	82234
741	11602	82215
742	11619	82214
743	11635	82195
744	11652	82194
745	11672	82204
746	11696	82251
747	11710	82220
748	11728	82222
749	11745	82219
750	11759	82189
751	11774	82168
752	11788	82141
753	11805	82135
754	11820	82116
755	11835	82095
756	11852	82087
757	11868	82079
758	11883	82060
759	11899	82046
760	11914	82025
761	11928	81995
762	11958	82082
763	11973	82058
764	11988	82039
765	12002	82008
766	12013	81964
767	12027	81935
768	12043	81924
769	12082	82064
770	12107	82111
771	12122	82094
772	12140	82090
773	12155	82070
774	12170	82053
775	12187	82042
776	12202	82025
777	12217	82003
778	12231	81979
779	12247	81962
780	12261	81940
781	12278	81927
782	12292	81901
783	12308	81891
784	12324	81872
785	12336	81834
786	12353	81825
787	12372	81835
788	12388	81817
789	12405	81812
790	12427	81841
791	12451	81881
792	12473	81906
793	12489	81891
794	12505	81876
795	12519	81850
796	12534	81827
797	12548	81804
798	12563	81778
799	12579	81765
800	12594	81745
801	12609	81727
802	12624	81706
803	12640	81694
804	12656	81678
805	12671	81658
806	12687	81646
807	12706	81649
808	12726	81661
809	12747	81675
810	12763	81666
811	12780	81656
812	12796	81643
813	12814	81638
814	12829	81622
815	12844	81601
816	12859	81578
817	12876	81571
818	12890	81548
819	12905	81527
820	12919	81500
821	12934	81478
822	12970	81589
823	12990	81599
824	13009	81602
825	13024	81586
826	13038	81554
827	13054	81544
828	13071	81535
829	13087	81521
830	13105	81519
831	13125	81527
832	13141	81512
833	13155	81486
834	13170	81465
835	13183	81436
836	13198	81411
837	13211	81384
838	13226	81362
839	13250	81393
840	13274	81431
841	13297	81459
842	13315	81455
843	13331	81444
844	13346	81422
845	13365	81426
846	13384	81426
847	13399	81409
848	13413	81380
849	13428	81362
850	13446	81356
851	13461	81336
852	13477	81320
853	13497	81331
854	13515	81332
855	13533	81326
856	13553	81336
857	13567	81311
858	13582	81287
859	13596	81264
860	13611	81244
861	13627	81224
862	13645	81222
863	13661	81209
864	13677	81193
865	13692	81174
866	13707	81154
867	13723	81142
868	13741	81134
869	13754	81105
870	13769	81084
871	13786	81071
872	13801	81054
873	13817	81041
874	13835	81039
875	13853	81035
876	13870	81027
877	13886	81009
878	13902	80996
879	13917	80976
880	13934	80964
881	13965	81039
882	13982	81026
883	13995	80995
884	14009	80970
885	14024	80946
886	14041	80938
887	14056	80920
888	14071	80901
889	14086	80878
890	14100	80852
891	14114	80825
892	14128	80797
893	14143	80779
894	14158	80757
895	14174	80741
896	14188	80719
897	14204	80703
898	14219	80680
899	14233	80657
900	14249	80639
901	14265	80625
902	14279	80600
903	14293	80574
904	14307	80548
905	14322	80531
906	14339	80518
907	14354	80498
908	14371	80492
909	14391	80498
910	14407	80481
911	14421	80459
912	14437	80443
913	14454	80433
914	14471	80421
915	14487	80406
916	14504	80397
917	14520	80384
918	14538	80378
919	14554	80368
920	14573	80367
921	14592	80368
922	14609	80362
923	14628	80359
924	14645	80350
925	14662	80342
926	14677	80321
927	14691	80298
928	14707	80284
929	14722	80259
930	14737	80238
931	14751	80214
932	14765	80188
933	14780	80167
934	14794	80145
935	14809	80124
936	14824	80104
937	14842	80098
938	14859	80089
939	14879	80094
940	14901	80114
941	14922	80127
942	14938	80108
943	14968	80168
944	14988	80175
945	15003	80156
946	15016	80126
947	15040	80151
948	15070	80213
949	15086	80196
950	15103	80185
951	15116	80158
952	15134	80149
953	15154	80157
954	15173	80158
955	15191	80151
956	15206	80131
957	15220	80103
958	15235	80085
959	15250	80063
960	15265	80041
961	15278	80013
962	15294	79998
963	15309	79975
964	15323	79952
965	15337	79928
966	15352	79907
967	15367	79886
968	15385	79878
969	15421	79969
970	15445	79997
971	15469	80023
972	15484	80003
973	15499	79980
974	15514	79960
