iter	Logloss	Accuracy	Precision	Recall	F1	MCC
0	0.687646866	0.8085728096	0.6813365933	0.09128630705	0.1610014444	0.1993422401
1	0.682237507	0.8097811759	0.7385496183	0.08451626993	0.151675485	0.2057663499
2	0.676951244	0.8087266016	0.7634032634	0.07152216641	0.1307907348	0.1943784342
3	0.6719393893	0.8077818789	0.7767253045	0.06267744049	0.1159947459	0.1844250564
4	0.6670488252	0.8071667106	0.7917304747	0.0564533741	0.105391907	0.1777115295
5	0.6619572095	0.8074742948	0.7858176556	0.05929242193	0.1102650015	0.1810554604
6	0.6572160648	0.808682661	0.7922077922	0.06660842979	0.1228847703	0.1933847921
7	0.6526431792	0.8081114333	0.795264624	0.06234985805	0.1156338599	0.1875976843
8	0.6482265889	0.8084190175	0.8258928571	0.06060275169	0.1129196338	0.1907480117
9	0.6440218776	0.8076280868	0.8477508651	0.05350513212	0.1006573541	0.1829030109
10	0.6399822049	0.8091000967	0.8888888889	0.0585280629	0.109824813	0.1987585862
11	0.6353977462	0.8092538887	0.902027027	0.0583096746	0.1095384615	0.2006752445
12	0.6313698016	0.8089902452	0.9113475177	0.05612579166	0.1057395598	0.1984152109
13	0.6272317054	0.8094296511	0.9060402685	0.05896483948	0.1107238056	0.2025141125
14	0.6232852167	0.8089682749	0.9232175503	0.05514304433	0.104070067	0.198630616
15	0.6196192654	0.8088803937	0.9242144177	0.0545970736	0.1031034127	0.1977977717
16	0.6158626181	0.8088364531	0.9001751313	0.05612579166	0.1056634803	0.1965171217
17	0.6121647699	0.8085728096	0.8980322004	0.05481546189	0.1033240712	0.1938191811
18	0.6086085606	0.8089243343	0.9036777583	0.05634417995	0.1060746223	0.1975018922
19	0.6051036889	0.8090561561	0.9103690685	0.05656256825	0.1065076591	0.1990292503
20	0.6014695772	0.8094735917	0.9132653061	0.05863725704	0.110199056	0.2031941966
21	0.5982540332	0.8095395026	0.9281961471	0.05787289801	0.1089526159	0.2043952856
22	0.5948780355	0.8092319184	0.9326047359	0.05590740336	0.1054908829	0.2015850873
23	0.5917122595	0.8091660076	0.9306569343	0.05568901507	0.1050896353	0.2008628228
24	0.5886371758	0.8091660076	0.9322344322	0.05557982092	0.1049051937	0.2009250695
25	0.5855138316	0.809495562	0.9403254973	0.05678095654	0.1070950469	0.2044629169
26	0.5822951225	0.8099789085	0.9504424779	0.05863725704	0.1104597346	0.2095262357
27	0.5793142838	0.8099789085	0.9410745234	0.05929242193	0.1115562404	0.2091200734
28	0.5763270785	0.809869057	0.9390243902	0.05885564534	0.1107685984	0.2079908331
29	0.5734842063	0.8100667897	0.9399656947	0.05983839266	0.1125141156	0.2099035247
30	0.5706925638	0.8103963441	0.9429530201	0.06136711072	0.1152347755	0.213119913
31	0.568063923	0.8104402847	0.9387417219	0.06191308146	0.1161647203	0.2133463917
32	0.5651607271	0.8104402847	0.9372937294	0.06202227561	0.1163457599	0.2132845198
33	0.5624946677	0.8104402847	0.9401993355	0.06180388731	0.1159836066	0.2134090676
34	0.5599867403	0.8103963441	0.938538206	0.06169469316	0.1157786885	0.2129293621
35	0.557598146	0.8106160471	0.9366883117	0.06300502293	0.1180683446	0.2148841545
36	0.555090213	0.81008876	0.9326599327	0.06049355755	0.1136177194	0.2098049065
37	0.5528044187	0.8101546709	0.937394247	0.06049355755	0.1136526823	0.2106219116
38	0.5504889283	0.810308463	0.9395973154	0.06114872243	0.1148246873	0.2121557493
39	0.5483870185	0.8100448194	0.9429065744	0.05951081022	0.1119556286	0.2098218097
40	0.5461913924	0.8104842253	0.9433333333	0.06180388731	0.1160073786	0.2139530486
41	0.543982178	0.8105721065	0.9422442244	0.06234985805	0.1169602622	0.2147189427
