iter	Logloss	Accuracy	Precision	Recall	F1	MCC
0	0.687622248	0.8098251164	0.7381404175	0.08495304652	0.1523697611	0.2062113037
1	0.6824159285	0.8063318394	0.7816091954	0.05197641406	0.09747107607	0.1685957852
2	0.6770891176	0.8049477107	0.7745098039	0.04313168814	0.08171286719	0.1522299189
3	0.6718218397	0.8051454434	0.776290631	0.04433282376	0.08387563268	0.1546590855
4	0.6669772327	0.8059583443	0.7772108844	0.04990172527	0.09378206444	0.1643696353
5	0.6621071363	0.8058924334	0.7996289425	0.04706267744	0.08889347221	0.1634077401
6	0.6573502376	0.8063757799	0.793867121	0.05088447259	0.09563878912	0.1689769142
7	0.6528686473	0.8059803146	0.8593406593	0.04269491155	0.08134817435	0.1649624746
8	0.64844731	0.8059803146	0.8609271523	0.04258571741	0.0811570076	0.1649926397
9	0.6441850608	0.8052992354	0.8718592965	0.03789036908	0.07262452909	0.1571193846
10	0.6399863963	0.8063318394	0.9172749392	0.04116619349	0.07879611245	0.1705015806
11	0.6354152269	0.8065076017	0.9420654912	0.04083861105	0.07828362114	0.1733470019
12	0.6312836939	0.8057606117	0.9204244032	0.03789036908	0.07278447824	0.1639534277
13	0.6272386239	0.8067273047	0.926713948	0.0428041057	0.08182861914	0.1752761333
14	0.6232835998	0.8060462255	0.9342105263	0.03876392225	0.07443908576	0.1677652075
15	0.6196013	0.8069030671	0.9403341289	0.04302249399	0.08228046361	0.1777124621
16	0.6158317955	0.8070788294	0.9393939394	0.04400524132	0.08407218108	0.1796118108
17	0.6120789432	0.8072765621	0.932735426	0.04542476523	0.0866305706	0.1815183065
18	0.6085304076	0.8076061165	0.9275053305	0.04749945403	0.09037083203	0.184856241
19	0.6050344397	0.8081114333	0.9206349206	0.0506660843	0.09604636721	0.1898908358
20	0.6014695078	0.8085947799	0.9160447761	0.05361432627	0.1012997731	0.1946461331
21	0.5982440075	0.8087705422	0.9348659004	0.05328674383	0.1008264463	0.1971141079
22	0.594741475	0.8089243343	0.9276437848	0.0545970736	0.1031246777	0.1983638618
23	0.5915823683	0.8090122155	0.9297597043	0.05492465604	0.1037220332	0.1993148249
24	0.588493704	0.8089682749	0.9232175503	0.05514304433	0.104070067	0.198630616
25	0.5854028693	0.8088584234	0.9353612167	0.05372352042	0.1016109046	0.1980102813
26	0.5824312189	0.809275859	0.9344262295	0.05601659751	0.1056969197	0.2020871184
27	0.5794371287	0.8098470867	0.9299145299	0.05940161607	0.1116699169	0.2074071525
28	0.5765251998	0.8106380174	0.9204368175	0.06442454684	0.1204204511	0.2144174232
29	0.5736898721	0.8108357501	0.9267912773	0.06497051758	0.1214285714	0.2164828887
30	0.57090716	0.810901661	0.921898928	0.06573487661	0.1227193966	0.2168840896
31	0.5682416022	0.8109456015	0.9234303216	0.06584407076	0.1229232494	0.2173449432
32	0.5654359171	0.8108577204	0.9190839695	0.06573487661	0.122694385	0.2163723709
33	0.5626384566	0.8107698392	0.9185867896	0.06529810002	0.1219288409	0.2155516765
34	0.5600534811	0.8107698392	0.9291338583	0.06442454684	0.1204942306	0.2159777074
35	0.5575568727	0.8109456015	0.9221374046	0.06595326491	0.1231020075	0.2172926904
36	0.5548508819	0.8106599877	0.9258675079	0.0640969644	0.1198937908	0.214836819
37	0.5523748175	0.810681958	0.9314194577	0.06376938196	0.1193663771	0.2152675759
38	0.5500910448	0.8105281659	0.9306451613	0.06300502293	0.118020045	0.2138188943
39	0.5477549722	0.810901661	0.9352290679	0.06464293514	0.1209273823	0.2174380782
40	0.5455467713	0.8111433342	0.9336419753	0.06606245905	0.1233938405	0.219560289
41	0.5432374968	0.8111213639	0.9335394127	0.06595326491	0.1232024477	0.2193576442
42	0.5411870412	0.8111433342	0.9349845201	0.06595326491	0.1232150143	0.2196181331
43	0.5389611372	0.8111213639	0.9335394127	0.06595326491	0.1232024477	0.2193576442
44	0.5369130542	0.8112092451	0.9339477727	0.06639004149	0.1239677847	0.2201671838
45	0.5348993566	0.8113850075	0.9334341906	0.06737278882	0.1256747123	0.2217209463
46	0.5329673132	0.811494859	0.9352409639	0.06780956541	0.1264508247	0.2227793108
47	0.5310258878	0.811648651	0.9385307346	0.06835553614	0.1274300254	0.2242902056
48	0.5291216952	0.8114069778	0.9388379205	0.06704520638	0.125152874	0.222154048
49	0.5272620519	0.8114728887	0.9364599092	0.06759117711	0.1260820858	0.2226371407
50	0.5252769086	0.8116266807	0.9345238095	0.06857392444	0.1277721261	0.2239183444
51	0.5235634874	0.811648651	0.9320531758	0.06890150688	0.1283172344	0.2240051121
52	0.5218558508	0.8114289481	0.9297458894	0.06791875955	0.1265900071	0.2219548715
53	0.5201632358	0.8115607698	0.9316493314	0.06846473029	0.1275556912	0.2232090058
54	0.5184796406	0.8114509184	0.9298507463	0.0680279537	0.1267806268	0.2221551411
55	0.5167898261	0.8117145619	0.9323529412	0.06922908932	0.1288879854	0.2246004771
56	0.515272894	0.8117145619	0.931085044	0.06933828347	0.1290650407	0.224545482
57	0.5135371664	0.8116925916	0.9361069837	0.06879231273	0.1281660055	0.2245711723
58	0.5117981446	0.8116706213	0.9347181009	0.06879231273	0.1281529699	0.2243157258
59	0.5102247764	0.8116266807	0.9319526627	0.06879231273	0.1281269067	0.2238063313
60	0.5087090985	0.8118244134	0.934114202	0.06966586591	0.1296616198	0.2256451543
61	0.5072547723	0.8117365322	0.9350073855	0.06911989517	0.1287239451	0.2249105767
62	0.5057634479	0.8117365322	0.9362962963	0.06901070103	0.1285467304	0.2249675642
63	0.5044308506	0.8118463837	0.9316860465	0.06999344835	0.1302051595	0.2257318688
64	0.5028411219	0.8119562352	0.9321789322	0.07053941909	0.1311541975	0.2267161374
65	0.5014933873	0.8120880569	0.9315263909	0.07130377812	0.1324677959	0.227837768
66	0.5001903091	0.8120660867	0.9314285714	0.07119458397	0.1322783526	0.2276421663
67	0.4988623132	0.8121539678	0.9318181818	0.07163136056	0.1330358954	0.2284236447
68	0.4976004354	0.8121100272	0.9316239316	0.07141297226	0.1326572008	0.2280332147
69	0.4963960776	0.8120660867	0.933908046	0.07097619568	0.1319261214	0.2277514111
70	0.4951710005	0.8123077599	0.9361702128	0.07206813715	0.1338335192	0.2299499969
71	0.493906348	0.8123736708	0.9352112676	0.07250491374	0.1345764086	0.2304757517
72	0.4925867773	0.8125274629	0.9346314325	0.07337846691	0.1360737066	0.2317719756
73	0.4913542377	0.8127911064	0.9333333333	0.07490718497	0.1386839179	0.2339636437
