iter	Passed	Remaining
0	18	112537
1	34	104149
2	51	103341
3	68	102049
4	84	101882
5	102	102062
6	151	129331
7	242	181263
8	267	177867
9	309	185515
10	334	182246
11	351	175378
12	367	169165
13	383	163777
14	399	159268
15	415	155327
16	435	153103
17	450	149597
18	464	146175
19	480	143777
20	495	140940
21	510	138769
22	528	137291
23	543	135266
24	558	133522
25	574	131924
26	590	130579
27	606	129399
28	623	128423
29	639	127330
30	654	126096
31	672	125441
32	692	125272
33	710	124742
34	730	124413
35	745	123517
36	762	122844
37	779	122355
38	796	121798
39	813	121208
40	830	120728
41	847	120258
42	863	119636
43	880	119209
44	895	118473
45	909	117692
46	926	117352
47	944	117073
48	960	116630
49	978	116394
50	997	116335
51	1012	115868
52	1029	115467
53	1046	115185
54	1061	114749
55	1077	114327
56	1093	113988
57	1107	113507
58	1123	113178
59	1139	112832
60	1156	112598
61	1172	112276
62	1193	112446
63	1209	112188
64	1328	121314
65	1412	127005
66	1442	127695
67	1472	128438
68	1510	129831
69	1537	130268
70	1563	130567
71	1580	130094
72	1596	129646
73	1613	129229
74	1632	128942
75	1648	128484
76	1663	127976
77	1678	127432
78	1693	126962
79	1711	126630
80	1728	126277
81	1743	125854
82	1759	125462
83	1775	125080
84	1791	124657
85	1807	124272
86	1823	123963
87	1840	123647
88	1856	123288
89	1875	123125
90	1893	122950
91	1908	122587
92	1925	122274
93	1941	121962
94	1956	121641
95	1973	121357
96	1988	120990
97	2004	120721
98	2020	120461
99	2037	120221
100	2054	119977
101	2069	119684
102	2085	119412
103	2102	119208
104	2120	119063
105	2137	118833
106	2154	118679
107	2174	118608
108	2191	118430
109	2208	118239
110	2226	118108
111	2243	117950
112	2263	117903
113	2282	117867
114	2299	117656
115	2316	117514
116	2335	117452
117	2356	117470
118	2376	117436
119	2435	119351
120	2522	122567
121	2553	123014
122	2594	123944
123	2619	124128
124	2635	123883
125	2650	123578
126	2667	123370
127	2684	123169
128	2700	122918
129	2717	122698
130	2736	122599
131	2754	122456
132	2776	122494
133	2795	122357
134	2811	122123
135	2829	121984
136	2844	121751
137	2861	121553
138	2877	121344
139	2898	121306
140	2920	121346
141	2938	121229
142	2959	121203
143	2978	121108
144	3001	121198
145	3022	121181
146	3040	121045
147	3057	120896
148	3074	120728
149	3090	120544
150	3108	120421
151	3126	120307
152	3146	120253
153	3164	120136
154	3180	119937
155	3196	119731
156	3218	119781
157	3237	119715
158	3254	119542
159	3273	119485
160	3289	119294
161	3305	119125
162	3325	119083
163	3341	118909
164	3355	118665
165	3370	118468
166	3388	118341
167	3403	118140
168	3420	118007
169	3436	117860
170	3452	117680
171	3470	117577
172	3485	117382
173	3511	117558
174	3617	120417
175	3640	120455
176	3688	121333
177	3723	121785
178	3750	121968
179	3765	121755
180	3779	121511
181	3795	121322
182	3812	121196
183	3830	121084
184	3848	120958
185	3864	120787
186	3879	120590
187	3894	120413
188	3911	120254
189	3930	120191
190	3947	120050
191	3963	119897
192	3981	119797
193	4000	119715
194	4015	119536
195	4032	119399
196	4051	119344
197	4073	119357
198	4105	119674
199	4135	119929
200	4151	119764
201	4167	119610
202	4183	119456
203	4198	119296
204	4217	119224
205	4233	119069
206	4248	118899
207	4265	118775
208	4281	118619
209	4297	118490
210	4314	118363
211	4329	118213
212	4347	118113
213	4363	117968
214	4379	117846
215	4395	117708
216	4412	117603
217	4431	117528
218	4447	117390
219	4464	117289
220	4480	117159
221	4496	117023
222	4511	116871
223	4527	116742
224	4545	116660
225	4561	116550
226	4579	116462
227	4596	116364
228	4784	120584
229	4807	120600
230	4839	120865
231	4884	121441
232	4912	121582
233	4934	121579
234	4949	121421
235	4965	121282
236	4982	121148
237	4998	121025
238	5015	120885
239	5031	120745
240	5049	120665
241	5065	120526
242	5082	120419
243	5099	120298
244	5115	120158
245	5132	120051
246	5148	119918
247	5166	119835
248	5181	119682
249	5199	119580
250	5216	119476
251	5236	119434
252	5256	119408
253	5276	119374
254	5292	119241
255	5309	119124
256	5325	119000
257	5344	118947
258	5361	118846
259	5379	118766
260	5396	118652
261	5413	118562
262	5430	118453
263	5448	118390
264	5469	118358
265	5485	118242
266	5500	118097
267	5517	118001
268	5534	117917
269	5551	117824
270	5569	117730
271	5586	117650
272	5601	117517
273	5616	117374
274	5631	117234
275	5649	117171
276	5665	117048
277	5680	116929
278	5696	116807
279	5712	116697
280	5730	116638
281	5747	116540
282	5764	116458
283	5879	118335
284	5902	118369
285	5928	118439
286	5949	118427
287	5973	118475
288	6001	118593
289	6030	118746
290	6049	118689
291	6066	118580
292	6087	118577
293	6118	118755
294	6141	118762
295	6156	118646
296	6173	118542
297	6190	118449
298	6208	118376
299	6223	118254
300	6243	118202
301	6262	118157
302	6277	118033
303	6293	117912
304	6309	117807
305	6326	117726
306	6345	117663
307	6364	117622
308	6382	117558
309	6400	117476
310	6417	117394
311	6433	117289
312	6450	117201
313	6469	117154
314	6486	117058
315	6506	117033
316	6528	117046
317	6548	117006
318	6569	117002
319	6592	117022
320	6612	116982
321	6630	116927
322	6652	116923
323	6671	116866
324	6688	116797
325	6705	116711
326	6721	116615
327	6739	116543
328	6756	116457
329	6772	116366
330	6787	116252
331	6805	116179
332	6820	116074
333	6838	116003
334	6857	115957
335	6906	116423
336	7002	117668
337	7037	117884
338	7077	118187
339	7104	118276
340	7137	118448
341	7165	118547
342	7187	118540
343	7204	118447
344	7224	118416
345	7244	118378
346	7263	118324
347	7280	118246
348	7300	118211
349	7319	118162
350	7336	118074
351	7356	118036
352	7373	117960
353	7390	117867
354	7410	117833
355	7429	117791
356	7450	117764
357	7474	117798
358	7498	117821
359	7520	117817
360	7539	117766
361	7560	117757
362	7579	117706
363	7595	117610
364	7611	117508
365	7628	117432
366	7648	117399
367	7666	117329
368	7683	117257
369	7704	117227
370	7721	117161
371	7740	117106
372	7756	117016
373	7772	116925
374	7790	116857
375	7810	116821
376	7829	116777
377	7849	116740
378	7868	116697
379	7887	116658
380	7906	116610
381	7925	116555
382	7943	116494
383	7962	116454
384	8082	117872
385	8173	118881
386	8194	118848
387	8240	119195
388	8275	119365
389	8308	119516
390	8329	119495
391	8347	119427
392	8365	119347
393	8385	119308
394	8408	119315
395	8425	119235
396	8447	119216
397	8467	119186
398	8486	119133
399	8505	119074
400	8525	119035
401	8543	118972
402	8562	118917
403	8582	118886
404	8598	118790
405	8617	118728
406	8634	118649
407	8658	118676
408	8677	118616
409	8694	118538
410	8712	118478
411	8727	118376
412	8745	118303
413	8761	118216
414	8777	118121
415	8793	118039
416	8809	117950
417	8826	117873
418	8843	117798
419	8862	117738
420	8877	117645
421	8893	117554
422	8909	117461
423	8924	117362
424	8941	117286
425	8956	117195
426	8972	117109
427	8987	117011
428	9003	116913
429	9019	116839
430	9035	116749
431	9051	116662
432	9070	116611
433	9092	116615
434	9113	116583
435	9133	116559
436	9166	116690
437	9283	117885
438	9310	117934
439	9365	118351
440	9402	118525
441	9441	118728
442	9461	118681
443	9480	118635
444	9501	118602
445	9524	118603
446	9545	118580
447	9564	118535
448	9585	118505
449	9605	118464
450	9623	118399
451	9640	118333
452	9658	118264
453	9673	118175
454	9691	118109
455	9707	118021
456	9723	117941
457	9740	117863
458	9759	117814
459	9779	117776
460	9796	117708
461	9813	117634
462	9830	117566
463	9849	117519
464	9866	117439
465	9883	117368
466	9902	117324
467	9920	117260
468	9939	117215
469	9958	117165
470	9975	117095
471	9990	117009
472	10007	116932
473	10023	116859
474	10041	116801
475	10060	116756
476	10075	116666
477	10093	116598
478	10109	116525
479	10127	116466
480	10144	116402
481	10162	116340
482	10180	116283
483	10196	116210
484	10213	116134
485	10229	116058
486	10246	115990
487	10262	115915
488	10462	117910
489	10488	117939
490	10532	118175
491	10571	118351
492	10611	118533
493	10627	118448
494	10646	118401
495	10661	118311
496	10677	118224
497	10699	118205
498	10718	118161
499	10735	118087
500	10755	118048
501	10772	117985
502	10792	117940
503	10811	117893
504	10829	117839
505	10850	117807
506	10870	117774
507	10889	117727
508	10908	117681
509	10925	117606
510	10949	117614
511	10969	117578
512	10985	117500
513	11003	117442
514	11019	117360
515	11034	117278
516	11052	117220
517	11068	117142
518	11086	117084
519	11102	117003
520	11120	116944
521	11138	116891
522	11159	116868
523	11176	116802
524	11192	116718
525	11207	116638
526	11223	116554
527	11240	116489
528	11258	116432
529	11273	116351
530	11297	116360
531	11314	116288
532	11330	116214
533	11352	116202
534	11376	116208
535	11397	116182
536	11415	116135
537	11435	116094
538	11486	116381
539	11574	117026
540	11596	117018
541	11624	117057
542	11662	117204
543	11689	117241
544	11706	117173
545	11722	117096
546	11738	117017
547	11761	117011
548	11784	117010
549	11801	116946
550	11819	116890
551	11835	116808
552	11855	116773
553	11874	116731
554	11891	116662
555	11912	116636
556	11932	116599
557	11953	116581
558	11972	116538
559	11991	116486
560	12007	116416
