iter	Passed	Remaining
0	13	79338
1	26	80164
2	39	79740
3	54	80973
4	66	80293
5	80	80537
6	94	81179
7	107	80513
8	122	81362
9	133	80172
10	146	79573
11	158	79011
12	171	78956
13	183	78544
14	195	77959
15	207	77705
16	221	78089
17	234	77918
18	246	77542
19	371	111013
20	510	145413
21	527	143419
22	546	141986
23	565	140919
24	588	140543
25	656	150742
26	686	151958
27	709	151290
28	733	150926
29	751	149545
30	770	148316
31	783	146145
32	795	143916
33	809	141980
34	823	140323
35	837	138755
36	849	136952
37	863	135479
38	876	133968
39	889	132546
40	902	131133
41	917	130089
42	930	128961
43	943	127751
44	956	126581
45	970	125673
46	986	124908
47	1003	124433
48	1016	123509
49	1029	122468
50	1041	121483
51	1053	120539
52	1069	119975
53	1085	119528
54	1098	118715
55	1110	117897
56	1124	117295
57	1137	116528
58	1150	115864
59	1163	115201
60	1184	115281
61	1207	115615
62	1229	115852
63	1254	116316
64	1278	116748
65	1305	117384
66	1331	117904
67	1356	118356
68	1380	118663
69	1403	118930
70	1430	119429
71	1453	119668
72	1480	120215
73	1512	121150
74	1726	136402
75	1814	141463
76	1837	141364
77	1860	141243
78	1888	141518
79	1920	142114
80	1952	142653
81	1984	143218
82	2037	145241
83	2065	145491
84	2091	145540
85	2114	145432
86	2136	145226
87	2159	145060
88	2173	144351
89	2186	143571
90	2198	142775
91	2211	141996
92	2224	141270
93	2235	140481
94	2248	139765
95	2261	139062
96	2274	138416
97	2288	137813
98	2301	137171
99	2315	136605
100	2328	135974
101	2341	135396
102	2353	134739
103	2366	134178
104	2378	133557
105	2392	133037
106	2405	132469
107	2417	131877
108	2430	131379
109	2443	130823
110	2457	130365
111	2474	130100
112	2489	129681
113	2502	129212
114	2516	128766
115	2529	128319
116	2542	127856
117	2556	127436
118	2569	126973
119	2582	126564
120	2595	126090
121	2606	125593
122	2620	125208
123	2633	124806
124	2645	124361
125	2659	123977
126	2672	123582
127	2686	123247
128	2699	122838
129	2712	122492
130	2725	122113
131	2738	121717
132	2750	121323
133	2762	120936
134	2774	120533
135	2802	120850
136	2992	128047
137	3015	128085
138	3041	128265
139	3067	128413
140	3090	128435
141	3145	129744
142	3171	129882
143	3205	130351
144	3233	130548
145	3253	130454
146	3276	130446
147	3291	130163
148	3305	129788
149	3318	129428
150	3332	129073
151	3346	128753
152	3359	128400
153	3372	128028
154	3386	127686
155	3407	127642
156	3429	127634
157	3451	127614
158	3475	127658
159	3498	127701
160	3522	127766
161	3547	127837
162	3571	127876
163	3594	127916
164	3617	127920
165	3639	127898
166	3666	128046
167	3689	128078
168	3714	128177
169	3738	128215
170	3763	128278
171	3785	128255
172	3804	128147
173	3824	128064
174	3847	128067
175	3863	127831
176	3882	127725
177	3905	127745
178	3932	127869
179	3957	127974
180	3984	128082
181	4132	132096
182	4303	136781
183	4330	136877
184	4357	136967
185	4387	137159
186	4417	137322
187	4463	138003
188	4521	139003
189	4544	138969
190	4569	138970
191	4597	139070
192	4623	139126
193	4642	138930
194	4655	138596
195	4667	138214
196	4680	137884
197	4693	137544
198	4705	137178
199	4717	136820
200	4730	136467
201	4742	136125
202	4755	135792
203	4767	135458
204	4781	135153
205	4793	134830
206	4807	134535
207	4819	134212
208	4832	133906
209	4846	133636
210	4859	133321
211	4875	133113
212	4889	132856
213	4902	132546
214	4915	132255
215	4932	132087
216	4948	131886
217	4961	131590
218	4974	131315
219	4989	131075
220	5000	130765
221	5013	130475
222	5025	130191
223	5038	129919
224	5052	129668
225	5064	129397
226	5079	129177
227	5092	128910
228	5107	128711
229	5128	128670
230	5153	128701
231	5183	128874
232	5207	128895
233	5230	128894
234	5255	128936
235	5280	128973
236	5318	129318
237	5492	132979
238	5513	132909
239	5533	132796
240	5556	132774
241	5580	132781
242	5616	133058
243	5677	133937
244	5704	134001
245	5728	133992
246	5755	134051
247	5776	133981
248	5795	133862
249	5809	133627
250	5821	133345
251	5835	133106
252	5848	132846
253	5861	132596
254	5874	132351
255	5887	132098
256	5900	131844
257	5915	131653
258	5929	131429
259	5941	131174
260	5954	130940
261	5968	130704
262	5982	130489
263	5998	130327
264	6015	130194
265	6033	130058
266	6052	129950
267	6070	129827
268	6089	129728
269	6113	129750
270	6132	129639
271	6149	129511
272	6164	129321
273	6182	129208
274	6198	129031
275	6214	128880
276	6227	128662
277	6241	128459
278	6263	128431
279	6283	128367
280	6301	128255
281	6319	128140
282	6335	127976
283	6355	127911
284	6378	127895
285	6398	127834
286	6416	127735
287	6434	127621
288	6454	127554
289	6475	127507
290	6505	127633
291	6772	132381
292	6799	132430
293	6824	132447
294	6848	132433
295	6876	132507
296	6934	133157
297	6960	133183
298	6984	133169
299	7009	133179
300	7031	133133
301	7055	133112
302	7076	133045
303	7091	132870
304	7105	132676
305	7120	132492
306	7134	132306
307	7147	132097
308	7160	131874
309	7173	131675
310	7186	131457
311	7199	131249
312	7212	131043
313	7224	130816
314	7236	130600
315	7249	130393
316	7266	130261
317	7280	130082
318	7293	129886
319	7309	129743
320	7322	129550
321	7335	129342
322	7347	129139
323	7365	129035
324	7380	128867
325	7392	128661
326	7406	128498
327	7428	128455
328	7454	128485
329	7481	128549
330	7495	128378
331	7510	128229
332	7525	128069
333	7539	127902
334	7553	127732
335	7566	127548
336	7579	127369
337	7593	127203
338	7608	127056
339	7624	126918
340	7643	126838
341	7656	126663
