iter	Logloss	Accuracy	Precision	Recall	F1	MCC
0	0.6875820832	0.8087485719	0.6689038031	0.09794715003	0.1708734165	0.2032624234
1	0.6823665625	0.8066833641	0.750348675	0.05874645119	0.1089620253	0.1732909941
2	0.6770305169	0.8057386414	0.7696245734	0.04924656038	0.09256978654	0.1619251041
3	0.6720613293	0.8068810968	0.7977346278	0.05383271457	0.1008592471	0.1745730836
4	0.667015907	0.8059803146	0.8187134503	0.04586154182	0.08685761555	0.1644543457
5	0.66219238	0.8060681958	0.8513800425	0.04378685302	0.08329006127	0.1658371844
6	0.6575802919	0.8066613938	0.8523622047	0.04728106573	0.08959238568	0.172558879
7	0.6530717872	0.8050575622	0.884097035	0.03581568028	0.06884248085	0.1544182419
8	0.6486900981	0.8048598295	0.8920454545	0.03428696222	0.06603575184	0.1521308586
9	0.6444861428	0.8044423939	0.9003115265	0.03155710854	0.0609768963	0.146965397
10	0.6403499063	0.805343176	0.9356725146	0.0349421271	0.06736842105	0.1594064005
11	0.6358068512	0.8048817998	0.9396825397	0.03232146757	0.0624934023	0.1537740056
12	0.6317871939	0.8051015028	0.9442724458	0.03330421489	0.06433920473	0.1566961361
13	0.6277605694	0.805936374	0.9476584022	0.03756278663	0.07226131709	0.1669464097
14	0.623803604	0.8059803146	0.9554317549	0.03745359249	0.0720815383	0.1677455415
15	0.6200954074	0.8062219879	0.9668508287	0.03821795152	0.07352941176	0.1710009217
16	0.6161061868	0.8071667106	0.9503546099	0.04389604717	0.08391608392	0.1809874866
17	0.6123894319	0.8071667106	0.9503546099	0.04389604717	0.08391608392	0.1809874866
18	0.6088816204	0.8072545918	0.9405034325	0.0448787945	0.08566961959	0.1815673468
19	0.6052477191	0.807496265	0.936123348	0.04640751256	0.08843112776	0.1840035359
20	0.6017629866	0.8080455225	0.9431578947	0.04891897794	0.09301359909	0.1900568401
21	0.5985562649	0.8076720274	0.9529147982	0.04640751256	0.08850478967	0.1865255081
22	0.5950821843	0.8080235522	0.9468085106	0.0485913955	0.0924387204	0.1899735472
