iter	Passed	Remaining
0	14	84088
1	25	76931
2	38	76654
3	51	77342
4	64	77659
5	78	78090
6	90	77888
7	102	76977
8	116	77869
9	129	77527
10	142	77755
11	155	77770
12	174	80221
13	186	79840
14	199	79572
15	215	80471
16	228	80321
17	241	80146
18	255	80428
19	272	81583
20	286	81478
21	298	81172
22	313	81446
23	325	81119
24	337	80709
25	355	81750
26	382	84723
27	491	104898
28	605	124579
29	735	146373
30	902	173714
31	928	173185
32	954	172580
33	981	172170
34	1011	172339
35	1090	180725
36	1132	182573
37	1165	182875
38	1192	182296
39	1220	181782
40	1249	181621
41	1281	181858
42	1310	181500
43	1338	181182
44	1367	180984
45	1396	180730
46	1422	180208
47	1450	179884
48	1475	179140
49	1498	178276
50	1523	177725
51	1545	176763
52	1574	176638
53	1601	176385
54	1629	176113
55	1655	175709
56	1682	175410
57	1708	175010
58	1733	174513
59	1758	174072
60	1783	173647
61	1804	172834
62	1827	172220
63	1852	171811
64	1878	171486
65	2062	185448
66	2280	201950
67	2311	201634
68	2335	200794
69	2362	200159
70	2390	199633
71	2421	199355
72	2483	201677
73	2541	203494
74	2567	202809
75	2594	202240
76	2623	201778
77	2652	201357
78	2686	201379
79	2718	201142
80	2747	200753
81	2777	200482
82	2809	200267
83	2834	199656
84	2864	199340
85	2896	199191
86	2927	198943
87	2958	198734
88	2987	198402
89	3017	198122
90	3047	197896
91	3071	197215
92	3095	196597
93	3117	195868
94	3140	195191
95	3164	194642
96	3186	193898
97	3208	193246
98	3234	192799
99	3263	192575
100	3302	192875
101	3531	204178
102	3713	212585
103	3737	211900
104	3763	211277
105	3792	210900
106	3824	210643
107	3881	211771
108	3954	213735
109	3981	213188
110	4012	212890
111	4041	212467
112	4073	212239
113	4105	211976
114	4131	211416
115	4157	210902
116	4184	210395
117	4208	209791
118	4232	209187
119	4255	208524
120	4276	207797
121	4300	207187
122	4324	206604
123	4351	206203
124	4375	205638
125	4400	205147
126	4429	204843
127	4454	204364
128	4481	203946
129	4506	203486
130	4531	203002
131	4556	202555
132	4579	202032
133	4604	201564
134	4626	200995
135	4649	200481
136	4674	200049
137	4699	199645
138	4921	207510
139	5123	214472
140	5150	214007
141	5175	213513
142	5203	213111
143	5227	212583
144	5254	212166
145	5348	214455
146	5381	214266
147	5413	214060
148	5441	213677
149	5472	213425
150	5499	213030
151	5529	212737
152	5559	212474
153	5586	212084
154	5612	211632
155	5635	211125
156	5661	210709
157	5685	210220
158	5710	209792
159	5733	209263
160	5759	208864
161	5785	208481
162	5809	208023
163	5836	207702
164	5863	207342
165	5885	206846
166	5911	206472
167	5935	206058
168	5961	205682
169	5984	205236
170	6009	204834
171	6032	204398
172	6057	204017
173	6080	203605
174	6104	203190
175	6268	207414
176	6408	210825
177	6549	214226
178	6575	213821
179	6601	213454
180	6630	213157
181	6659	212883
182	6749	214550
183	6788	214583
184	6818	214335
185	6846	213999
186	6875	213723
187	6903	213419
188	6931	213122
189	6960	212844
190	6991	212631
191	7016	212255
192	7045	211978
193	7072	211669
194	7098	211322
195	7122	210907
196	7144	210451
197	7167	210022
198	7190	209616
199	7215	209235
200	7241	208930
201	7268	208636
202	7295	208331
203	7318	207932
204	7343	207576
205	7369	207286
206	7394	206927
207	7419	206605
208	7446	206340
209	7476	206136
210	7500	205788
211	7524	205439
212	7747	210494
213	7958	215171
214	7984	214841
215	8010	214510
216	8038	214225
217	8064	213899
218	8118	214307
219	8191	215218
220	8219	214931
221	8248	214677
222	8273	214336
223	8304	214147
224	8334	213918
225	8365	213731
226	8393	213449
227	8421	213209
228	8446	212852
229	8467	212420
230	8491	212065
231	8513	211664
232	8538	211330
233	8562	210984
234	8588	210681
235	8612	210356
236	8637	210044
237	8663	209754
238	8692	209534
239	8721	209320
240	8749	209074
241	8773	208744
242	8798	208450
243	8825	208191
244	8851	207919
245	8877	207656
246	8900	207305
247	8925	207007
248	8960	206947
249	9189	211352
250	9358	214359
251	9385	214070
252	9412	213801
253	9440	213557
254	9468	213308
255	9550	214290
256	9595	214434
257	9625	214230
258	9655	214013
259	9685	213817
260	9714	213606
261	9741	213346
262	9769	213114
263	9796	212855
264	9818	212495
265	9841	212156
266	9867	211866
267	9890	211533
268	9915	211253
269	9943	211028
270	9972	210810
271	9998	210554
272	10027	210350
273	10054	210116
274	10082	209898
275	10107	209615
276	10133	209365
277	10161	209145
278	10187	208902
279	10215	208690
280	10244	208494
281	10270	208258
282	10298	208038
283	10324	207790
284	10371	207979
285	10513	210046
286	10673	212471
287	10704	212309
288	10728	212005
289	10756	211786
290	10784	211574
291	10846	212034
292	10915	212611
293	10944	212412
294	10971	212176
295	10998	211953
296	11030	211798
297	11057	211570
298	11084	211347
299	11114	211170
300	11139	210916
301	11163	210629
302	11188	210370
303	11213	210104
304	11236	209812
305	11260	209528
306	11286	209290
307	11306	208958
308	11329	208669
309	11358	208474
310	11388	208329
311	11420	208199
312	11448	208004
313	11477	207841
314	11507	207682
315	11533	207450
316	11564	207315
317	11589	207071
318	11612	206802
319	11637	206563
320	11757	208001
321	11890	209680
322	12078	212283
323	12105	212076
324	12136	211919
325	12166	211760
326	12194	211552
327	12224	211397
328	12317	212317
329	12358	212341
330	12388	212179
331	12419	212030
332	12452	211923
333	12482	211753
334	12511	211582
335	12540	211398
336	12572	211269
337	12598	211046
338	12625	210829
339	12653	210649
340	12681	210448
341	12709	210257
342	12738	210085
343	12767	209919
344	12793	209707
345	12823	209547
346	12849	209339
347	12876	209136
348	12904	208951
349	12933	208783
350	12961	208598
351	12988	208413
352	13018	208251
353	13045	208063
354	13169	209412
355	13305	210949
356	13488	213207
357	13520	213072
358	13551	212943
359	13580	212757
360	13667	213493
361	13714	213604
362	13744	213433
363	13777	213322
364	13805	213135
365	13836	212984
366	13864	212807
367	13895	212660
